year,importer1,importer2,flow1,flow2
,Station11,Station8,810039,926725
,Station11,Station9,510336,528007
,Station11,Station10,146750,137745
,Station11,Station11,655486,655486
,Station11,Station12,364945,338965
,Station11,Station13,597633,644109
,Station11,Station14,879298,866073
,Station11,Station15,622973,734384
,Station11,Station16,575829,652773
,Station11,Station17,754713,788949
,Station11,Station18,1641930,1760296
,Station11,Station19,20458,19227
,Station11,Station20,1096926,1182981
,Station12,Station1,297411,381589
,Station12,Station2,182315,210974
,Station12,Station3,428829,408011
,Station12,Station4,427061,456691
,Station12,Station5,257138,270307
,Station12,Station6,292867,326724
,Station12,Station7,482861,490653
,Station12,Station8,859475,861469
,Station12,Station9,846785,852095
,Station12,Station10,558386,590419
,Station12,Station11,338965,364945
,Station12,Station12,375390,375390
,Station12,Station13,92464,99071
,Station12,Station14,333833,372962
,Station12,Station15,233129,316362
,Station12,Station16,252384,338825
,Station12,Station17,248579,283894
,Station12,Station18,627882,679828
,Station12,Station19,7574,8604
,Station12,Station20,496203,528644
,Station13,Station1,232005,269559
,Station13,Station2,158931,179554
,Station13,Station3,403827,363852
,Station13,Station4,422818,431602
,Station13,Station5,260427,258527
,Station13,Station6,328295,343409
,Station13,Station7,413082,373110
,Station13,Station8,780684,659534
,Station13,Station9,879411,784938
,Station13,Station10,502073,469611
,Station13,Station11,644109,597633
,Station13,Station12,99071,92464
,Station13,Station13,382945,382945
,Station13,Station14,253517,262436
,Station13,Station15,144365,201762
,Station13,Station16,157408,204288
,Station13,Station17,235459,267437
,Station13,Station18,467290,467960
,Station13,Station19,6437,6144
,Station13,Station20,301312,268318
,Station14,Station1,225197,293147
,Station14,Station2,162434,208139
,Station14,Station3,503417,517399
,Station14,Station4,577530,635789
,Station14,Station5,340083,364606
,Station14,Station6,529986,615716
,Station14,Station7,594397,610134
,Station14,Station8,824547,790415
,Station14,Station9,840238,782958
,Station14,Station10,576317,559931
,Station14,Station11,866073,879298
,Station14,Station12,372962,333833
,Station14,Station13,262436,253517
,Station14,Station14,343295,343295
,Station14,Station15,178881,191291
,Station14,Station16,126149,144176
,Station14,Station17,222805,225121
,Station14,Station18,386202,414412
,Station14,Station19,5593,6159
,Station14,Station20,386767,367731
,Station15,Station1,199345,230259
,Station15,Station2,111200,118835
,Station15,Station3,295846,252310
